SVAMITVA Property Card ID,Linked Land Record Parcel ID,Survey / Gat / Property No.,State,District,Tehsil / Taluka,Village,Owner Name,Father / Spouse Name,Owner Type,Total Area (sq m),Land / Property Type,Property Card Status,Property Card Prepared Date,Distribution Date,Drone Survey Status,Drone Survey Date,Ortho Image Status,Vector Data Status,DEM Data Status,Parcel Digitisation Status,Cadastral / Parcel Geometry WKT,Record Source,Record Date / Last Updated,Verification Status,Survey Completed,Ground Truthing Status,CORS / Control Point Status,Property Card Prepared,Objection Received,Objection Date,Objection Disposed,Objection Disposal Date,Card Ready for Distribution,Property Card Distributed,Latitude,Longitude,Notified Village,Drone Flying Completed,Data Processing Completed,Data Processing Status,Ortho Data Received,Vector Data Received,Property Cards Prepared,Property Cards Distributed,Feature Extraction Status,Ground Verification Date
SVPC-MH-0000001,MH-DEMO-00001,SV-01-01-0001,Maharashtra,Sindhudurg,Kankavli,Demo Village 01,Ashok Joshi,Pooja Ingale,Individual,27.9,Mixed Residential,Distributed,2024-01-05,,Completed,2024-01-04,Received,Received,Received,Digitised,"POLYGON((18.639610 73.439610,18.640390 73.439610,18.640390 73.440390,18.639610 73.440390,18.639610 73.439610))",Synthetic SVAMITVA Demo Dataset,2026-01-02,Synthetic - Not Government Verified,Yes,Completed,Available,Yes,No,,Not Applicable,,Yes,Yes,73.43961,18.63961,Yes,Yes,Yes,Completed,Yes,Yes,Yes,Yes,Completed,2024-01-11
SVPC-MH-0000002,MH-DEMO-00002,SV-01-01-0002,Maharashtra,Sindhudurg,Kankavli,Demo Village 02,Meena Borkar,Sunita Chavan,Individual,30.8,Institutional,Under Verification,2024-01-09,,Completed,2024-01-07,Received,Received,Available,Digitised,"POLYGON((18.639570 73.439570,18.640430 73.439570,18.640430 73.440430,18.639570 73.440430,18.639570 73.439570))",Synthetic SVAMITVA Demo Dataset,2026-01-03,Synthetic - Not Government Verified,Yes,Completed,Available,No,No,,Not Applicable,,No,Yes,73.43957,18.63957,Yes,Yes,Yes,Completed,Yes,Yes,No,Yes,Completed,2024-01-14
SVPC-MH-0000003,MH-DEMO-00003,SV-01-01-0003,Maharashtra,Sindhudurg,Kankavli,Demo Village 03,Rahul Shinde,Aniket Salve,Individual,33.7,Commercial,Digitisation Completed,2024-01-13,,Pending,,Processing,Processing,Processing,Digitised,"POLYGON((18.639530 73.439530,18.640470 73.439530,18.640470 73.440470,18.639530 73.440470,18.639530 73.439530))",Synthetic SVAMITVA Demo Dataset,2026-01-04,Synthetic - Not Government Verified,No,In Progress,Available,Yes,No,,Not Applicable,,Yes,Yes,73.43953,18.63953,Yes,No,No,In Progress,No,No,Yes,Yes,Pending,
SVPC-MH-0000004,MH-DEMO-00004,SV-01-01-0004,Maharashtra,Sindhudurg,Kankavli,Demo Village 04,Shivam Wagh,Nikhil Joshi,Individual,36.6,Open Plot,Prepared,2024-01-17,,Completed,2024-01-13,Received,Received,Received,Digitised,"POLYGON((18.639490 73.439490,18.640510 73.439490,18.640510 73.440510,18.639490 73.440510,18.639490 73.439490))",Synthetic SVAMITVA Demo Dataset,2026-01-05,Synthetic - Not Government Verified,Yes,Pending,Available,Yes,No,,Not Applicable,,Yes,Yes,73.43949,18.63949,Yes,Yes,Yes,Completed,Yes,Yes,Yes,Yes,Completed,
SVPC-MH-0000005,MH-DEMO-00005,SV-01-01-0005,Maharashtra,Sindhudurg,Kankavli,Demo Village 05,Vaishnavi Yadav,Sonal Raut,Individual,39.5,Other Abadi Property,Distributed,2024-01-21,,Completed,2024-01-16,Received,Received,Received,Digitised,"POLYGON((18.639650 73.439650,18.640350 73.439650,18.640350 73.440350,18.639650 73.440350,18.639650 73.439650))",Synthetic SVAMITVA Demo Dataset,2026-01-06,Synthetic - Not Government Verified,Yes,Completed,Available,Yes,No,,Not Applicable,,Yes,No,73.43965,18.63965,Yes,Yes,Yes,Completed,Yes,Yes,Yes,No,Completed,2024-01-23
SVPC-MH-0000006,MH-DEMO-00006,SV-01-01-0006,Maharashtra,Sindhudurg,Kankavli,Demo Village 06,Akash More,Amit Mane,Individual,42.4,Residential Abadi,Under Verification,2024-01-25,,Completed,2024-01-19,Received,Received,Available,Under Processing,"POLYGON((18.639610 73.439610,18.640390 73.439610,18.640390 73.440390,18.639610 73.440390,18.639610 73.439610))",Synthetic SVAMITVA Demo Dataset,2026-01-07,Synthetic - Not Government Verified,Yes,Completed,Pending,No,No,,Not Applicable,,No,Yes,73.43961,18.63961,Yes,Yes,Yes,Completed,Yes,Yes,No,Yes,Completed,2024-01-26
SVPC-MH-0000007,MH-DEMO-00007,SV-01-01-0007,Maharashtra,Sindhudurg,Kankavli,Demo Village 07,Dhananjay Gawande,Nandini Jadhav,Individual,45.3,Mixed Residential,Digitisation Completed,2024-01-29,,Pending,,Processing,Processing,Processing,Digitised,"POLYGON((18.639570 73.439570,18.640430 73.439570,18.640430 73.440430,18.639570 73.440430,18.639570 73.439570))",Synthetic SVAMITVA Demo Dataset,2026-01-08,Synthetic - Not Government Verified,No,Completed,Available,Yes,No,,Not Applicable,,No,Yes,73.43957,18.63957,Yes,No,No,In Progress,No,No,Yes,Yes,Pending,2024-01-29
SVPC-MH-0000008,MH-DEMO-00008,SV-01-01-0008,Maharashtra,Sindhudurg,Kankavli,Demo Village 08,Nandini Raut,Sneha Dhole,Individual,48.2,Institutional,Prepared,2024-02-02,,Completed,2024-01-25,Received,Received,Received,Digitised,"POLYGON((18.639530 73.439530,18.640470 73.439530,18.640470 73.440470,18.639530 73.440470,18.639530 73.439530))",Synthetic SVAMITVA Demo Dataset,2026-01-09,Synthetic - Not Government Verified,Yes,In Progress,Available,Yes,No,,Not Applicable,,Yes,Yes,73.43953,18.63953,Yes,Yes,Yes,Completed,Yes,Yes,Yes,Yes,Completed,
SVPC-MH-0000009,MH-DEMO-00009,SV-01-01-0009,Maharashtra,Sindhudurg,Kankavli,Demo Village 09,Ramesh Kadam,Akash More,Individual,51.1,Commercial,Distributed,2024-02-06,,Completed,2024-01-28,Received,Received,Received,Digitised,"POLYGON((18.639490 73.439490,18.640510 73.439490,18.640510 73.440510,18.639490 73.440510,18.639490 73.439490))",Synthetic SVAMITVA Demo Dataset,2026-01-10,Synthetic - Not Government Verified,Yes,Pending,Available,Yes,No,,Not Applicable,,Yes,Yes,73.43949,18.63949,Yes,Yes,Yes,Completed,Yes,Yes,Yes,Yes,Completed,
SVPC-MH-0000010,MH-DEMO-00010,SV-01-01-0010,Maharashtra,Sindhudurg,Kankavli,Demo Village 10,Sonal Ingale,Mohan Mhatre,Individual,54.0,Open Plot,Under Verification,2024-02-10,,Completed,2024-01-31,Received,Received,Available,Digitised,"POLYGON((18.639650 73.439650,18.640350 73.439650,18.640350 73.440350,18.639650 73.440350,18.639650 73.439650))",Synthetic SVAMITVA Demo Dataset,2026-01-11,Synthetic - Not Government Verified,Yes,Completed,Available,No,No,,Not Applicable,,No,No,73.43965,18.63965,Yes,Yes,Yes,Completed,Yes,Yes,No,No,Completed,2024-02-07
