ULPIN / Parcel ID,Survey Number / Gat Number,District,Taluka,Village,Owner / Rights-holder details,Land Area (hectares),Land Classification / Land Type,Tenure / Rights details,7/12 Record,8A Record,Mutation / Ferfar details,Mutation Date,Mutation Status,Cadastral Parcel Boundary / Geometry,Property Card,Record Source,Record Date / Last Updated,Verification Status,Owner Name,Owner / Rights-holder Type,Owner Share,Owner Relation,Owner Address
MH-DEMO-00001,101/1,Mumbai City,Demo Taluka 01,Demo Village 01,Name: Ashok Joshi; Holder Type: Individual; Relation: D/O Synthetic Holder; Share: 100%; Address: Synthetic Address 02,0.62,Forest,Private Tenure,DEMO-712-00001,DEMO-8A-00001,DEMO-FERFAR-00001,2025-01-11,Under Verification,"POLYGON((72.840268 18.967993,72.842007 18.968268,72.841732 18.970007,72.839993 18.969732,72.840268 18.967993))",DEMO-PC-00001,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2025-01-12,Synthetic - Not Government Verified,Ashok Joshi,Individual,100%,D/O Synthetic Holder,Synthetic Address 02
MH-DEMO-00002,101/2,Mumbai City,Demo Taluka 02,Demo Village 02,Name: Meena Borkar; Holder Type: Individual; Relation: W/O Synthetic Holder; Share: 100%; Address: Synthetic Address 03,0.99,Industrial,Other/Restricted,DEMO-712-00002,DEMO-8A-00002,DEMO-FERFAR-00002,2025-01-21,No Recent Mutation,"POLYGON((72.828384 18.943790,72.830210 18.944384,72.829616 18.946210,72.827790 18.945616,72.828384 18.943790))",DEMO-PC-00002,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2025-01-23,Synthetic - Not Government Verified,Meena Borkar,Individual,100%,W/O Synthetic Holder,Synthetic Address 03
MH-DEMO-00003,101/3,Mumbai City,Demo Taluka 03,Demo Village 03,Name: Rahul Shinde; Holder Type: Individual; Relation: S/O Synthetic Holder; Share: 100%; Address: Synthetic Address 04,1.36,Water Body,Occupancy Class I,DEMO-712-00003,DEMO-8A-00003,DEMO-FERFAR-00003,2025-01-31,Updated,"POLYGON((72.816546 18.982601,72.818399 18.983546,72.817454 18.985399,72.815601 18.984454,72.816546 18.982601))",DEMO-PC-00003,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2025-02-03,Synthetic - Not Government Verified,Rahul Shinde,Individual,100%,S/O Synthetic Holder,Synthetic Address 04
MH-DEMO-00004,101/4,Mumbai City,Demo Taluka 04,Demo Village 04,Name: Shivam Wagh; Holder Type: Individual; Relation: D/O Synthetic Holder; Share: 100%; Address: Synthetic Address 05,1.73,Wasteland,Occupancy Class II,DEMO-712-00004,DEMO-8A-00004,DEMO-FERFAR-00004,2025-02-10,Pending,"POLYGON((72.804752 18.958436,72.806564 18.959752,72.805248 18.961564,72.803436 18.960248,72.804752 18.958436))",DEMO-PC-00004,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2025-02-14,Synthetic - Not Government Verified,Shivam Wagh,Individual,100%,D/O Synthetic Holder,Synthetic Address 05
MH-DEMO-00005,101/5,Mumbai City,Demo Taluka 05,Demo Village 05,Name: Vaishnavi Yadav; Holder Type: Individual; Relation: W/O Synthetic Holder; Share: 100%; Address: Synthetic Address 01,2.1,Mixed Use,Government Lease,DEMO-712-00005,DEMO-8A-00005,DEMO-FERFAR-00005,2025-02-20,Under Verification,"POLYGON((72.793000 18.934303,72.794697 18.936000,72.793000 18.937697,72.791303 18.936000,72.793000 18.934303))",DEMO-PC-00005,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2025-02-25,Synthetic - Not Government Verified,Vaishnavi Yadav,Individual,100%,W/O Synthetic Holder,Synthetic Address 01
MH-DEMO-00006,101/6,Mumbai City,Demo Taluka 06,Demo Village 06,Name: Akash More; Holder Type: Individual; Relation: S/O Synthetic Holder; Share: 100%; Address: Synthetic Address 02,2.47,Agricultural,Private Tenure,DEMO-712-00006,DEMO-8A-00006,DEMO-FERFAR-00006,2025-03-02,No Recent Mutation,"POLYGON((72.844283 18.973212,72.845788 18.975283,72.843717 18.976788,72.842212 18.974717,72.844283 18.973212))",DEMO-PC-00006,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2025-03-08,Synthetic - Not Government Verified,Akash More,Individual,100%,S/O Synthetic Holder,Synthetic Address 02
MH-DEMO-00007,101/7,Mumbai City,Demo Taluka 01,Demo Village 07,Name: Dhananjay Gawande and Meena Pawar; Holder Type: Joint Holders; Relation: Joint Holders; Share: 50%-50%; Address: Synthetic Address 03,2.84,Residential,Other/Restricted,DEMO-712-00007,DEMO-8A-00007,DEMO-FERFAR-00007,2025-03-12,Updated,"POLYGON((72.832350 18.949924,72.833076 18.951350,72.831650 18.952076,72.830924 18.950650,72.832350 18.949924))",DEMO-PC-00007,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2025-03-19,Synthetic - Not Government Verified,Dhananjay Gawande and Meena Pawar,Joint Holders,50%-50%,Joint Holders,Synthetic Address 03
MH-DEMO-00008,101/8,Mumbai City,Demo Taluka 02,Demo Village 08,Name: Nandini Raut; Holder Type: Individual; Relation: W/O Synthetic Holder; Share: 100%; Address: Synthetic Address 04,3.21,Forest,Occupancy Class I,DEMO-712-00008,DEMO-8A-00008,DEMO-FERFAR-00008,2025-03-22,Pending,"POLYGON((72.820565 18.988891,72.821109 18.990565,72.819435 18.991109,72.818891 18.989435,72.820565 18.988891))",DEMO-PC-00008,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2025-03-30,Synthetic - Not Government Verified,Nandini Raut,Individual,100%,W/O Synthetic Holder,Synthetic Address 04
MH-DEMO-00009,101/9,Mumbai City,Demo Taluka 03,Demo Village 09,Name: Ramesh Kadam; Holder Type: Individual; Relation: S/O Synthetic Holder; Share: 100%; Address: Synthetic Address 05,3.58,Industrial,Occupancy Class II,DEMO-712-00009,DEMO-8A-00009,DEMO-FERFAR-00009,2025-04-01,Under Verification,"POLYGON((72.808798 18.964902,72.809098 18.966798,72.807202 18.967098,72.806902 18.965202,72.808798 18.964902))",DEMO-PC-00009,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2025-04-10,Synthetic - Not Government Verified,Ramesh Kadam,Individual,100%,S/O Synthetic Holder,Synthetic Address 05
MH-DEMO-00010,101/10,Mumbai City,Demo Taluka 04,Demo Village 10,Name: Sonal Ingale; Holder Type: Individual; Relation: D/O Synthetic Holder; Share: 100%; Address: Synthetic Address 01,3.95,Water Body,Government Lease,DEMO-712-00010,DEMO-8A-00010,DEMO-FERFAR-00010,2025-04-11,No Recent Mutation,"POLYGON((72.794960 18.940960,72.797040 18.940960,72.797040 18.943040,72.794960 18.943040,72.794960 18.940960))",DEMO-PC-00010,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2025-04-21,Synthetic - Not Government Verified,Sonal Ingale,Individual,100%,D/O Synthetic Holder,Synthetic Address 01
MH-DEMO-00011,101/11,Mumbai City,Demo Taluka 05,Demo Village 11,Name: Vikas Patil; Holder Type: Individual; Relation: W/O Synthetic Holder; Share: 100%; Address: Synthetic Address 02,4.32,Wasteland,Private Tenure,DEMO-712-00011,DEMO-8A-00011,DEMO-FERFAR-00011,2025-04-21,Updated,"POLYGON((72.846069 18.979719,72.848281 18.980069,72.847931 18.982281,72.845719 18.981931,72.846069 18.979719))",DEMO-PC-00011,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2025-05-02,Synthetic - Not Government Verified,Vikas Patil,Individual,100%,W/O Synthetic Holder,Synthetic Address 02
MH-DEMO-00012,101/12,Mumbai City,Demo Taluka 06,Demo Village 12,Name: Aniket Deshpande; Holder Type: Individual; Relation: S/O Synthetic Holder; Share: 100%; Address: Synthetic Address 03,4.69,Mixed Use,Other/Restricted,DEMO-712-00012,DEMO-8A-00012,DEMO-FERFAR-00012,2025-05-01,Pending,"POLYGON((72.834230 18.955488,72.836512 18.956230,72.835770 18.958512,72.833488 18.957770,72.834230 18.955488))",DEMO-PC-00012,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2025-05-13,Synthetic - Not Government Verified,Aniket Deshpande,Individual,100%,S/O Synthetic Holder,Synthetic Address 03
MH-DEMO-00013,101/13,Mumbai City,Demo Taluka 01,Demo Village 01,Name: Kiran Mhatre; Holder Type: Individual; Relation: D/O Synthetic Holder; Share: 100%; Address: Synthetic Address 04,0.26,Agricultural,Occupancy Class I,DEMO-712-00013,DEMO-8A-00013,DEMO-FERFAR-00013,2025-05-11,Under Verification,"POLYGON((72.822441 18.931278,72.824722 18.932441,72.823559 18.934722,72.821278 18.933559,72.822441 18.931278))",DEMO-PC-00013,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2025-05-24,Synthetic - Not Government Verified,Kiran Mhatre,Individual,100%,D/O Synthetic Holder,Synthetic Address 04
MH-DEMO-00014,101/14,Mumbai City,Demo Taluka 02,Demo Village 02,Name: Pooja Pawar and Sachin Shinde; Holder Type: Joint Holders; Relation: Joint Holders; Share: 50%-50%; Address: Synthetic Address 05,0.63,Residential,Occupancy Class II,DEMO-712-00014,DEMO-8A-00014,DEMO-FERFAR-00014,2025-05-21,No Recent Mutation,"POLYGON((72.810823 18.970883,72.812117 18.971823,72.811177 18.973117,72.809883 18.972177,72.810823 18.970883))",DEMO-PC-00014,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2025-06-04,Synthetic - Not Government Verified,Pooja Pawar and Sachin Shinde,Joint Holders,50%-50%,Joint Holders,Synthetic Address 05
